Site Location,Stock Status,Material No.,Category,Description,Long tex
JUR,Available,2001191,Fastener,STUDBOLT;SZ 1 IN;6 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:1 IN LENGTH:6 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
JUR,Available,2001195,Fastener,STUDBOLT;SZ 1 IN;7 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:1 IN LENGTH:7 IN MATERIAL_SPECIFICATION:GR-B7 NUMBER_OF_NUTS:W/2HEX NUT
JUR,Available,2001211,Fastener,STUDBOLT;SZ 1.1/8 IN;6 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:1.1/8 IN LENGTH:6 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
JUR,Available,2001215,Fastener,STUDBOLT;SZ 1.1/8 IN;7 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:1.1/8 IN LENGTH:7 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
JUR,No Stock,2006727,General,CLIP;SZ 1/2 IN;GALV,SHORT_NAME:CLIP SIZE:1/2 IN MATERIAL:GALV
JUR,No Stock,2006729,General,CLIP;SZ 1 IN;GALV,SHORT_NAME:CLIP SIZE:1 IN MATERIAL:GALV
JUR,No Stock,2006732,General,CLIP;SZ 3 IN;GALV,SHORT_NAME:CLIP SIZE:3 IN MATERIAL:GALV
JUR,No Stock,2006734,General,CLIP;SZ 6 IN;GALV,SHORT_NAME:CLIP SIZE:6 IN MATERIAL:GALV
JUR,Available,2007225,Fittings,"BUSHING,PIPE;CONC;SZ 3/4 IN*1/2 IN;THD",SOLID STEEL MATERIAL_SPECIFICATION:ASTM A105 GR 2 PRESSURE_RATING:3000# INDUSTRY_STANDARD:B2.1 SPECIAL_FEATURES:HEX SHOULDER SHORT_NAME:BUSHING PIPE TYPE:CONCENTRIC SIZE:3/4 IN*1/2 IN END_CONNECTION_TYPE:THREADED MATERIAL:FORGED CS MACHINED FROM
JUR,Available,2007227,Fittings,"BUSHING,PIPE;HEX SHLDR;SZ 3/4 IN*1 IN",SHORT_NAME:BUSHING PIPE TYPE:HEXAGON SHOULDER SIZE:3/4 IN*1 IN END_CONNECTION_TYPE:THREADED MATERIAL:FORGED CS SOLID STEEL MATERIAL_SPECIFICATION:USA STD B2.1 ASTM SPEC. A105 GR 2 PRESSURE_RATING:3000# SPECIAL_FEATURES:FS MACHINED FROM
JUR,Available,2007228,Fittings,"BUSHING,PIPE;HEX SHLDR;THD;FCS,SOL STL",SHORT_NAME:BUSHING PIPE TYPE:HEXAGON SHOULDER SIZE:1 IN*1/2 IN*1 IN*1/2 IN*1*1/2 END_CONNECTION_TYPE:THREADED MATERIAL:FORGED CS SOLID STEEL MATERIAL_SPECIFICATION:USA STD B2.1 ASTM SPEC. A105 GR 2 PRESSURE_RATING:3000# SPECIAL_FEATURES:FS CONCENTRIC MACHINED FROM
JUR,Available,2007230,Fittings,"CAP,P;STD;3000#;FCS,MCND FROM SOL STL",SHORT_NAME:CAP PIPE TYPE:STD PRESSURE_RATING:3000# MATERIAL:FORGED CS MACHINED FROM SOLID STEEL NOMINAL_PIPE_SIZE:1/2 IN END_PREPARATION:THREADED MATERIAL_STANDARD:ASTM A105 DIMENSION_STANDARD:USA STD B2.1 GRADE:2
JUR,Available,2007231,Fittings,"CAP,P;STD;3000#;FCS,MCND FROM SOL STL",SHORT_NAME:CAP PIPE TYPE:STD PRESSURE_RATING:3000# MATERIAL:FORGED CS MACHINED FROM SOLID STEEL NOMINAL_PIPE_SIZE:3/4 IN END_PREPARATION:THREADED MATERIAL_STANDARD:ASTM A105 SPECIAL_FEATURES:USA B2.1 DIMENSION_STANDARD:USA STD B2.3
JUR,Available,2007276,Fittings,"COUPLING,P;SZ 1/2 IN;3000#;THD;A105,GR 2",SHORT_NAME:COUPLING PIPE SIZE:1/2 IN END_CONNECTION_TYPE:THREADED MATERIAL:FORGED CS MACHINED FROM SOLID STEEL MATERIAL_SPECIFICATION:ASTM A105 GR 2 PRESSURE_RATING:3000# SPECIAL_FEATURES:USA STD B2.1
JUR,Available,2007277,Fittings,"COUPLING,P;SZ 3/4 IN;3000#;THD;A105,GR 2",SHORT_NAME:COUPLING PIPE SIZE:3/4 IN END_CONNECTION_TYPE:THREADED MATERIAL:FORGED CS MACHINED FROM SOLID STEEL MATERIAL_SPECIFICATION:ASTM A105 GR 2 PRESSURE_RATING:3000# SPECIAL_FEATURES:USA STD B2.3
JUR,Available,2007278,Fittings,"COUPLING,P;SZ 1 IN;3000#;THD;A105,GR 2",SHORT_NAME:COUPLING PIPE SIZE:1 IN END_CONNECTION_TYPE:THREADED MATERIAL:FORGED CS MACHINED FROM SOLID STEEL MATERIAL_SPECIFICATION:ASTM A105 GR 2 PRESSURE_RATING:3000# SPECIAL_FEATURES:USA STD B2.1
JUR,Available,2007319,Fittings,BOSS;SZ 1/2 IN;PIPE SW;3000#;FS;A105,SHORT_NAME:BOSS SIZE:1/2 IN END_CONNECTION_TYPE:PIPE SW PRESSURE_RATING:3000# MATERIAL:FS MATERIAL_SPECIFICATION:A105
JUR,Available,2007320,Fittings,BOSS;SZ 3/4 IN;PIPE SW;3000#;FS;A105,SHORT_NAME:BOSS SIZE:3/4 IN END_CONNECTION_TYPE:PIPE SW PRESSURE_RATING:3000# MATERIAL:FS MATERIAL_SPECIFICATION:A105
JUR,Available,2007321,Fittings,BOSS;SZ 1 IN;PIPE SW;3000#;FS;A105,SHORT_NAME:BOSS SIZE:1 IN END_CONNECTION_TYPE:PIPE SW PRESSURE_RATING:3000# MATERIAL:FS MATERIAL_SPECIFICATION:A105
JUR,Available,2007375,Fittings,"ELBOW,P;90DEG;SZ 1/2 IN;FCS;3000# CWP;PP",SHORT_NAME:ELBOW PIPE SIZE:1/2 IN END_CONNECTION_TYPE:THREADED USA STD B2.1 STRAIGHT MATERIAL:FORGED CS MATERIAL_SPECIFICATION:ASTM A-105 GR-2 ANGLE:90DEG PRESSURE_RATING:3000# CWP SPECIAL_FEATURES:PP
JUR,Available,2007376,Fittings,"ELBOW,P;90DEG;SZ 3/4 IN;FCS;3000# CWP",SHORT_NAME:ELBOW PIPE SIZE:3/4 IN END_CONNECTION_TYPE:THREADED USA STD B2.3 STRAIGHT MATERIAL:FORGED CS MATERIAL_SPECIFICATION:ASTM A-105 GR-2 ANGLE:90DEG PRESSURE_RATING:3000# CWP SPECIAL_FEATURES:PP USA B2.1
JUR,Available,2007377,Fittings,"ELBOW,P;90DEG;SZ 1 IN;FCS;3000# CWP;PP",SHORT_NAME:ELBOW PIPE SIZE:1 IN END_CONNECTION_TYPE:THREADED USA STD B2.1 STRAIGHT MATERIAL:FORGED CS MATERIAL_SPECIFICATION:A105 GR-2 ASTM A-105 ANGLE:90DEG PRESSURE_RATING:3000# CWP SPECIAL_FEATURES:PP
JUR,Available,2007378,Fittings,"ELBOW,P;90;SZ 5 IN*1.1/2;FCS;STRT",SHORT_NAME:ELBOW PIPE TYPE:STRAIGHT SIZE:5 IN*1.1/2 END_CONNECTION_TYPE:THREADED USA STD B2.1 MATERIAL:FORGED CS MATERIAL_SPECIFICATION:ASTM A-105 GR-2 ANGLE:90 PRESSURE_RATING:3000# CWP
JUR,Available,2007392,Fittings,"TEE;SZ 1/2 IN;ASTM A-105,GR 2;FCS;THD",SHORT_NAME:TEE TYPE:PIPE STR END_CONNECTION_TYPE:THREADED MATERIAL:FORGED CS MATERIAL_SPECIFICATION:ASTM A-105 GR 2 PRESSURE_RATING:3000# CWP INDUSTRY_STANDARD:SA STD B2.1 SIZE:1/2 IN
JUR,Available,2007393,Fittings,"TEE;SZ 3/4 IN;ASTM A-105,GR 2;FCS;THD",SHORT_NAME:TEE TYPE:PIPE STR END_CONNECTION_TYPE:THREADED MATERIAL:FORGED CS MATERIAL_SPECIFICATION:ASTM A-105 GR 2 PRESSURE_RATING:3000# CWP INDUSTRY_STANDARD:USA B2.1 SA STD B2.3 SIZE:3/4 IN
JUR,Available,2007394,Fittings,"TEE;SZ 1 IN;ASTM A-105,GR.2,USA STD B2.1",SHORT_NAME:TEE TYPE:PIPE STR END_CONNECTION_TYPE:THREADED MATERIAL:CS MATERIAL_SPECIFICATION:ASTM A-105 GR.2 USA STD B2.1 MANUFACTURE_PROCESS:FORGED PRESSURE_RATING:3000# SIZE:1 IN SPECIAL_FEATURES:CWP 1
JUR,Available,2007401,Fittings,"UNION;SZ 1/2 IN;3000#;THD;A105,GR 2;FCS",SHORT_NAME:UNION TYPE:PIPE SIZE:1/2 IN END_CONNECTION_TYPE:THREADED PRESSURE_RATING:3000# MATERIAL:FORGED CS MATERIAL_SPECIFICATION:ASTM A105 GR 2 DIMENSION_STANDARD:USA STD B2.1
JUR,Available,2007402,Fittings,"UNION;SZ 3/4 IN;3000#;THD;A105,GR 2;FCS",SHORT_NAME:UNION TYPE:PIPE SIZE:3/4 IN END_CONNECTION_TYPE:THREADED PRESSURE_RATING:3000# MATERIAL:FORGED CS MATERIAL_SPECIFICATION:ASTM A105 GR 2 SPECIAL_FEATURES:USA STD B2.1 DIMENSION_STANDARD:USA STD B2.3
JUR,No Stock,2007440,Fittings,"FLANGE,WN;SZ 4 IN;150#;A105;GR-2",SHORT_NAME:FLANGE WELDNECK SIZE:4 IN PRESSURE_RATING:150# MATERIAL:GR-2 MATERIAL_SPECIFICATION:A105 SCHEDULE:40 BORE
JUR,Available,2007476,Fittings,"FLANGE,SW;SZ 3/4 IN;RF;150#;FCS;SCH STD",SHORT_NAME:FLANGE SOCKETWELD SIZE:3/4 IN FLANGE_FACING:RF PRESSURE_RATING:150# MATERIAL:FORGED CS MATERIAL_SPECIFICATION:ASTM SPEC A-105 GR 2 SCHEDULE:STD SPECIAL_FEATURES:FACED AND DRILLED USA STD DIMENSION_STANDARD:B16.5
JUR,Available,2007508,Fittings,"ELBOW,P;45;SZ 3/4 IN;FS;A105,GR-2;THD;PP",SHORT_NAME:ELBOW PIPE SIZE:3/4 IN END_CONNECTION_TYPE:THREADED MATERIAL:FS MATERIAL_SPECIFICATION:A105 GR-2 ANGLE:45 PRESSURE_RATING:3000# SPECIAL_FEATURES:PP
JUR,Available,2008076,Fittings,"PLUG,P;SZ 1/8 IN;A105",SHORT_NAME:PLUG PIPE SIZE:1/8 IN MATERIAL_STANDARD:A105 PRESSURE_CLASS:3000#
JUR,Available,2008078,Fittings,"PLUG,P;SZ 1/2 IN;THD;A105;GR 2",SHORT_NAME:PLUG PIPE TYPE:THREADED SIZE:1/2 IN MATERIAL_STANDARD:A105 PRESSURE_CLASS:3000# GRADE:2
JUR,Available,2008079,Fittings,"PLUG,P;SZ 3/4 IN;THD;A105;GR 2",SIZE:3/4 IN MATERIAL_STANDARD:A105 PRESSURE_CLASS:3000# GRADE:2 SHORT_NAME:PLUG PIPE TYPE:THREADED
JUR,Available,2008080,Fittings,"PLUG,P;SZ 1 IN;THD;A105;GR 2",SHORT_NAME:PLUG PIPE TYPE:THREADED SIZE:1 IN MATERIAL_STANDARD:A105 PRESSURE_CLASS:3000# GRADE:2
JUR,Available,2008175,Fittings,"NIPPLE,P;SZ 1/2 IN*4 IN*S160",SHORT_NAME:NIPPLE PIPE SIZE:1/2 IN*4 IN*S160 MATERIAL:ASTM A234 GR WPB END_CONNECTION:THREAD BOTH END
JUR,Available,2008219,Fittings,"NIPPLE,P;SZ 1/2 IN*3 IN*S80;THD BOTH END",SHORT_NAME:NIPPLE PIPE SIZE:1/2 IN*3 IN*S80 MATERIAL:ASTM A234 GR WPB END_CONNECTION:THREAD BOTH END
JUR,Available,2008220,Fittings,"NIPPLE,P;SZ 1/2 IN*4 IN*S80;THD BOTH END",SHORT_NAME:NIPPLE PIPE SIZE:1/2 IN*4 IN*S80 MATERIAL:ASTM A234 GR WPB END_CONNECTION:THREAD BOTH END
JUR,Available,2008225,Fittings,"NIPPLE,P;SZ 3/4 IN;2 IN LG;A234 GR-WPB",SHORT_NAME:NIPPLE PIPE SIZE:3/4 IN LENGTH:2 IN MATERIAL:A234 GR-WPB END_CONNECTION:THREAD BOTH END SCHEDULE:80
JUR,Available,2008226,Fittings,"NIPPLE,P;SZ 3/4 IN*3 IN*S80;THD BOTH END",SHORT_NAME:NIPPLE PIPE SIZE:3/4 IN*3 IN*S80 MATERIAL:ASTM A234 GR WPB END_CONNECTION:THREAD BOTH END
JUR,Available,2008228,Fittings,"NIPPLE,P;SZ 3/4 IN*6 IN*S80;THD BOTH END",SHORT_NAME:NIPPLE PIPE SIZE:3/4 IN*6 IN*S80 MATERIAL:ASTM A234 GR WPB END_CONNECTION:THREAD BOTH END
JUR,Available,2008229,Fittings,"NIPPLE,P;SZ 3/4 IN*4 IN*S80;THD BOTH END",SHORT_NAME:NIPPLE PIPE SIZE:3/4 IN*4 IN*S80 MATERIAL:ASTM A234 GR WPB END_CONNECTION:THREAD BOTH END
JUR,Available,2008230,Fittings,"NIPPLE,P;SZ 1 IN*6 IN;ASTM A234 GR WPB",SHORT_NAME:NIPPLE PIPE SIZE:1 IN*6 IN MATERIAL:ASTM A234 GR WPB END_CONNECTION:THREAD BOTH END SCHEDULE:80
JUR,Available,2008273,Fittings,"NIPPLE,P;SZ 1/2 IN*S80;1/4 IN LG;A105",SHORT_NAME:NIPPLE PIPE TYPE:SWAGED CONCENTRIC SIZE:1/2 IN*S80 LENGTH:1/4 IN MATERIAL:A105 END_CONNECTION:GR-2 THREAD BOTH END
JUR,Available,2008275,Fittings,"NIPPLE,P;SZ 3/4 IN*1/4 IN*S80;A105,GR-2",SHORT_NAME:NIPPLE PIPE TYPE:SWAGED CONCENTRIC SIZE:3/4 IN*1/4 IN*S80 MATERIAL:A105 GR-2 END_CONNECTION:THREAD BOTH END
JUR,Available,2008276,Fittings,NIPPLE;PIPE;3/4X1/2IN;SCH80;STL A234 GR2,NIPPLE  PIPE SHORT_NAME: PIPE NIPPLE TYPE: SWAGED CONCENTRIC SIZE: 3/4 X 1/2 IN MATERIAL: STEEL ASTM A234 GR 2 END_CONNECTION: THREAD BOTH END SCHEDULE: SCH 80
JUR,Available,2008277,Fittings,"NIPPLE,P;SZ 1 IN*S80;1/2 IN LG;A105,GR-2",SHORT_NAME:NIPPLE PIPE TYPE:SWAGED CONCENTRIC SIZE:1 IN*S80 LENGTH:1/2 IN MATERIAL:A105 GR-2 END_CONNECTION:THREAD BOTH END
JUR,Available,2008278,Fittings,"NIPPLE,P;SZ 1 IN*S80;3/4 IN LG;A105",SHORT_NAME:NIPPLE PIPE TYPE:SWAGED CONCENTRIC SIZE:1 IN*S80 LENGTH:3/4 IN MATERIAL:A105 END_CONNECTION:GR-2 THREAD BOTH END
JUR,Available,2008285,Fittings,PIPE;SZ 3/4 IN;3 IN LG;SCH 160;GRB,SHORT_NAME:PIPE TYPE:NIPPLE MATERIAL:GRB SIZE:3/4 IN LENGTH:3 IN MANUFACTURE_PROCESS:SML INDUSTRY_STANDARD:API 5L SCHEDULE:160
JUR,Available,2008761,General,"TAPE;INSLTNG,SCOTCH;NO 23",SHORT_NAME:TAPE TYPE:INSULATING SCOTCH SPECIAL_FEATURES:NO 23
JUR,No Stock,2008762,General,TAPE;INSLTNG;PVC;BLK;33,SHORT_NAME:TAPE TYPE:INSULATING MATERIAL:PVC COLOR:BLACK MANUFACTURER_NAME:SCOTCH 3-M CO. U.S.A MANUFACTURER_PART_NUMBER:33
JUR,Available,2008763,General,"TAPE;INSLTNG,SCOTCH;BLUE;NO 35",SHORT_NAME:TAPE TYPE:INSULATING SCOTCH COLOR:BLUE SPECIAL_FEATURES:NO 35
JUR,No Stock,2008764,General,"TAPE;INSLTNG,SCOTCH;GREEN;NO 35",SHORT_NAME:TAPE TYPE:INSULATING SCOTCH COLOR:GREEN SPECIAL_FEATURES:NO 35
JUR,Available,2008765,General,"TAPE;INSLTNG,SCOTCH;RED;NO 35",SHORT_NAME:TAPE TYPE:INSULATING SCOTCH COLOR:RED SPECIAL_FEATURES:NO 35
JUR,Available,2008766,General,"TAPE;INSLTNG,SCOTCH;YEL;NO 35",SHORT_NAME:TAPE TYPE:INSULATING SCOTCH COLOR:YEL SPECIAL_FEATURES:NO 35
JUR,Available,2012670,General,FLASHLIGHT;RAZOR;LED;3AA;LIME;60160,
JUR,No Stock,2015610,Fittings,CLEANING;RAGS;COTTN;20KG,SHORT_NAME:CLEANING SUPPLY TYPE:RAGS MATERIAL:COTTON PACKAGE_TYPE:BURLAP BAG AND STRAPPED NETT/BALE PACKAGE_SIZE:20KG SPECIAL_FEATURES:COLOURED SEWN STERILISED FREE FROM BUTTONS PINS HOOKS AND EYE
JUR,Available,2015683,Gasket,GASKET;SZ 8 IN;1.5MM THK;150#;FLT RNG;RF,"SHORT_NAME:GASKET TYPE:FLAT RING THICKNESS:1.5MM MATERIAL:LAMINATED FLEXIBLE GRAPHITE SHEET TO BE REINFORCED WITH SS316 FOIL WITH MECHANICAL ""TANG"" TYPE B OND PRESSURE_RATING:150# FLANGE_FACING:RF INDUSTRY_STANDARD:ASME B16.5 AND ASME B16.21 SIZE:8 IN SPECIAL_FEATURES:(UNION CARBIDE GR GHE OR EQUAL)"
JUR,No Stock,2015684,Gasket,GASKET;SZ 3/4 IN;1.5MM THK;150#;316 SS,SHORT_NAME:GASKET TYPE:TANG THICKNESS:1.5MM MATERIAL:316 SS SHAPE:FLAT RING PRESSURE_RATING:150# FLANGE_FACING:RF INDUSTRY_STANDARD:ASME B16.5 AND ASME B16.21 SIZE:3/4 IN SPECIAL_FEATURES:LAMINATED FLEXIBLE GRAPHITE SHEET TO BE REINFORCED WITH SS316 FOIL WITH MECHANICAL TANG TYPE BOND FLAT RING FOR RAISED FACE FLANGES. (UNION CARBIDE GR GHE OR EQUAL) ASME B16.5 &amp; ASME B16.21
JUR,No Stock,2015685,Gasket,GASKET;SZ 1 IN;1.5MM THK;150#;FLT RNG;RF,"SHORT_NAME:GASKET TYPE:FLAT RING THICKNESS:1.5MM MATERIAL:LAMINATED FLEXIBLE GRAPHITE SHEET TO BE REINFORCED WITH SS316 FOIL WITH MECHANICAL ""TANG"" TYPE B OND PRESSURE_RATING:150# FLANGE_FACING:RF INDUSTRY_STANDARD:ASME B16.5 AND ASME B16.21 SIZE:1 IN SPECIAL_FEATURES:(UNION CARBIDE GR GHE OR EQUAL)"
JUR,No Stock,2015686,Gasket,GASKET;150#;316 SS;TANG;RF;B16.21,SHORT_NAME:GASKET TYPE:TANG MATERIAL:316 SS PRESSURE_RATING:150# FLANGE_FACING:RF INDUSTRY_STANDARD:ASME B16.21 SPECIAL_FEATURES:1.1/2 IN150#1.5MM RF.FR FLEXIBLE GRAPHITE LAMINATED FLEXIBLE GRAPHITE SHEET TO BE REINFORCED WITH SS316 FOIL WITH MECHANICAL TANG TYPE BOND FLAT RING FOR RAISED FACE FLANGES. (UNION CARBIDE GR GHE OR EQUAL) ASME B16.5 &amp; ASME B16.21
